##FastQC	0.12.1
>>Basic Statistics	pass
#Measure	Value
Filename	10_2G_both_S8_L008_R2_001.fastq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	81477069
Total Bases	8.2 Gbp
Sequences flagged as poor quality	0
Sequence length	101
%GC	50
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1105	68-69	-0.0015012105464933256
1105	70-71	-0.14750807047348502
1105	72-73	-0.06570506908330742
1105	74-75	-0.11153800711728934
1105	76-77	-0.11629237341259824
1105	78-79	-0.10645202815866384
1105	80-81	-0.13575568257055437
1105	82-83	-0.09538933490058099
1105	84-85	-0.08544139426808073
1105	86-87	-0.04309185144906991
1105	88-89	-0.24783402874415117
1105	90-91	-0.23713422442197185
1105	92-93	-0.2027172264599315
1105	94-95	-0.2912037449402618
1105	96-97	-0.3052202043540433
1105	98-99	-0.2351673453160359
1105	100-101	-0.25060590180218156
1106	1	-0.430944473275531
1106	2	-0.6475353252900895
1106	3	-0.9353991275005598
1106	4	-0.963210111155341
1106	5	-0.8148539707180547
1106	6	-1.0539760460103764
1106	7	-1.086703499118066
1106	8	-1.1194934022543421
1106	9	-1.067474036925546
1106	10-11	-1.0654216628170303
1106	12-13	-0.6461774303190424
1106	14-15	-0.4771049461844612
1106	16-17	-0.2227204641585132
1106	18-19	-0.19836990840282454
1106	20-21	-0.1444931781658454
1106	22-23	-0.19138830463087686
1106	24-25	-0.165712416133438
1106	26-27	-0.2047312609939098
1106	28-29	-0.2202455931328231
1106	30-31	-0.30840319607649747
1106	32-33	-0.21032547595351758
1106	34-35	-0.23622724749048274
1106	36-37	-0.2297006061761877
1106	38-39	-0.43973982036263237
1106	40-41	-0.3680890454574879
1106	42-43	-0.30368735219918364
1106	44-45	-0.2988689739882062
1106	46-47	-0.20314879940740127
1106	48-49	-0.14598793307143154
1106	50-51	-0.029916241712179215
1106	52-53	-0.16663998114334788
1106	54-55	0.008496873918247161
1106	56-57	-0.13494636497915025
1106	58-59	-0.10318703732849599
1106	60-61	-0.08345643964624827
1106	62-63	-0.20504694762532694
1106	64-65	-0.1453694261887719
1106	66-67	-0.05243549036032391
1106	68-69	-0.12208085440357763
1106	70-71	-0.18329038449434876
1106	72-73	-0.14922553993301335
1106	74-75	-0.14583004013863388
1106	76-77	-0.26577601872794077
1106	78-79	-0.103608709355548
1106	80-81	-0.20863187978371656
1106	82-83	-0.276206970104802
1106	84-85	-0.2400222897527442
1106	86-87	-0.20112766655125824
1106	88-89	-0.2910734853819079
1106	90-91	-0.26647509205790954
1106	92-93	-0.3637193653087891
1106	94-95	-0.32702661770078834
1106	96-97	-0.2505582517285063
1106	98-99	-0.20374221246243707
1106	100-101	-0.13001084051801826
1107	1	-0.6275450676658636
1107	2	-0.3534554671145429
1107	3	-0.962546402382003
1107	4	-0.8577822096596819
1107	5	-0.8434116335279285
1107	6	-0.8597529152709527
1107	7	-0.7960377947703989
1107	8	-0.7678968011361391
1107	9	-0.7792785253511951
1107	10-11	-0.7441084865998562
1107	12-13	-0.8006709068097351
1107	14-15	-0.7800071876688861
1107	16-17	-0.27213269798600237
1107	18-19	-0.09648271086273041
1107	20-21	-0.09772157375494572
1107	22-23	-0.046340332665437245
1107	24-25	0.0019150033684667278
1107	26-27	-0.023378924154279446
1107	28-29	-0.05446118734063532
1107	30-31	-0.22809032423116804
1107	32-33	0.04397973811283151
1107	34-35	-0.02020946150151559
1107	36-37	-0.037519173409940265
1107	38-39	-0.20364966463800727
1107	40-41	-0.1859306392436224
1107	42-43	-0.1383614505586337
1107	44-45	-0.14581092782472638
1107	46-47	-0.039214513264219875
1107	48-49	0.09036020459870286
1107	50-51	0.07405166659163598
1107	52-53	-0.0036289459364411414
1107	54-55	0.1786140382974466
